text,label
"Urgent: Your account has been suspended. Verify your identity immediately by clicking this link or your account will be permanently closed within 24 hours.",1
"Dear customer, we detected unusual activity on your bank account. Confirm your password now to avoid suspension.",1
"Congratulations! You have won a $1000 gift card. Click here to claim your prize before it expires today.",1
"Your PayPal account has been limited. Update your billing information within 24 hours to restore full access.",1
"IRS Notice: You owe back taxes. Failure to respond within 48 hours will result in legal action. Click to pay now.",1
"Your package could not be delivered. Please confirm your address and pay a small redelivery fee by clicking the link below.",1
"Security Alert: Someone tried to log into your account from an unknown device. Verify now or your account will be locked.",1
"URGENT ACTION REQUIRED: Your mailbox is full and will be deactivated. Click here to increase storage immediately.",1
"Dear valued customer, your Netflix subscription payment failed. Update your card details now to avoid interruption of service.",1
"You have a pending wire transfer of $45,000. Click the secure link to review and approve the transaction today.",1
"Final Notice: Your domain registration expires today. Renew now to avoid losing your website permanently.",1
"We noticed suspicious sign-in activity on your Microsoft account. Verify your identity within 24 hours.",1
"Claim your inheritance of $2.5 million now. Reply with your bank details to process the transfer immediately.",1
"Your Apple ID has been locked for security reasons. Click here to unlock your account now.",1
"Act now! Limited time offer expires in 1 hour. Verify your card to receive your cashback reward.",1
"This is your final warning. Your electricity will be disconnected today unless you pay the overdue bill via this link.",1
"Your email storage is almost full. Click here immediately to upgrade or lose access to your inbox.",1
"Dear user, your password will expire in 2 hours. Click the link below to keep the same password.",1
"Congratulations, you've been selected for a government grant of $9,000. Submit your SSN to claim it now.",1
"Your online banking session has expired. Re-enter your login credentials here to continue.",1

"Hi team, attaching the quarterly report for review before Friday's meeting. Let me know if you have questions.",0
"Reminder: our project sync is scheduled for 3 PM tomorrow in conference room B.",0
"Thanks for sending over the notes from yesterday's call, really helpful.",0
"Hey, are we still on for lunch this weekend? Let me know what time works.",0
"Please find attached the updated invoice for last month's services.",0
"Your order has shipped and is expected to arrive on Thursday. Track your package using the order number provided.",0
"Happy birthday! Hope you have a wonderful day, let's catch up soon.",0
"The lecture slides for this week's class have been uploaded to the portal.",0
"Can you review the attached document and share feedback by end of day?",0
"Great meeting you at the conference, looking forward to collaborating on the project.",0
"Your subscription renewal was processed successfully. No action is needed.",0
"Here are the meeting minutes from today's standup, let me know if I missed anything.",0
"Thanks for your application, we would like to schedule an interview next week.",0
"The library book you requested is now available for pickup.",0
"Attached is the syllabus for the upcoming semester, please review before orientation.",0
"Following up on our conversation, I've shared the project timeline in the shared drive.",0
"Your flight itinerary for next month has been confirmed, details attached.",0
"We appreciate your feedback on the recent product update, our team is reviewing it.",0
"Just a heads up, the office will be closed on Monday for the public holiday.",0
"Congratulations on completing the course! Your certificate is attached to this email.",0
